chinese,pinyin
你是哪国人？,Nǐ shì nǎ guó rén?
老师，您好！,"Lǎoshī, nín hǎo!"
他会开车吗？,Tā huì kāi chē ma?
她是不是老师？,Tā shì bu shì lǎoshī?
我们都是大学生。,Wǒmen dōu shì dàxuéshēng.
你们是学生吗？,Nǐmen shì xuésheng ma?
他们去哪儿了？,Tāmen qù nǎr le?
她们都是我的朋友。,Tāmen dōu shì wǒ de péngyou.
你看，它正在吃饭呢。,"Nǐ kàn, tā zhèngzài chī fàn ne."
这些小狗真漂亮，它们叫什么名字？,"Zhèxiē xiǎo gǒu zhēn piàoliang, tāmen jiào shénme míngzi?"
大家都喜欢学习汉语。,Dàjiā dōu xǐhuan xuéxí Hànyǔ.
这是谁的书？,Zhè shì shéi de shū?
那个手机多少钱？,Nàge shǒujī duōshao qián?
我在这儿学习中文。,Wǒ zài zhèr xuéxí Zhōngwén.
那儿有一家书店。,Nàr yǒu yì jiā shūdiàn.
这里是我的家。,Zhèlǐ shì wǒ de jiā.
那里有一家饭店。,Nàlǐ yǒu yì jiā fàndiàn.
这些是老师的书。,Zhèxiē shì lǎoshī de shū.
我不认识那些人。,Wǒ bú rènshi nàxiē rén.
到了饭店，大家有的想吃米饭，有的想吃面条。,"Dàole fàndiàn, dàjiā yǒude xiǎng chī mǐfàn, yǒude xiǎng chī miàntiáo."
这个杯子多少钱？,Zhège bēizi duōshao qián?
她在那个房间。,Tā zài nàge fángjiān.
有些学生不在学校住。,Yǒuxiē xuésheng bú zài xuéxiào zhù.
一个、两百、五十八、一百零六、两千三百五十、九点半、半个小时,"Yí ge, liǎngbǎi, wǔshíbā, yìbǎilíngliù, liǎngqiān sānbǎi wǔshí, jiǔ diǎn bàn, bàn ge xiǎoshí"
这本书是中文书。,Zhè běn shū shì Zhōngwén shū.
我吃了两个包子。,Wǒ chīle liǎng ge bāozi.
前边有一家书店。,Qiánbian yǒu yì jiā shūdiàn.
你家有几口人？,Nǐ jiā yǒu jǐ kǒu rén?
我有十块钱。,Wǒ yǒu shí kuài qián.
这只小猫真漂亮。,Zhè zhī xiǎo māo zhēn piàoliang.
这件衣服三百元。,Zhè jiàn yīfu sānbǎi yuán.
喝杯茶吧。,Hē bēi chá ba.
今天几月几日（号）？,Jīntiān jǐ yuè jǐ rì (hào)?
她今年几岁？,Tā jīnnián jǐ suì?
现在八点二十分。,Xiànzài bā diǎn èrshí fēn.
一年有十二个月。,Yì nián yǒu shí'èr ge yuè.
你一天学习几个汉字？,Nǐ yì tiān xuéxí jǐ ge hànzì?
我非常喜欢学中文。,Wǒ fēicháng xǐhuan xué Zhōngwén.
这里的水果很便宜。,Zhèlǐ de shuǐguǒ hěn piányi.
房间里太热了。,Fángjiān lǐ tài rè le.
这儿的菜真好吃。,Zhèr de cài zhēn hǎochī.
今天天气有点儿冷。,Jīntiān tiānqì yǒudiǎnr lěng.
我们都学习汉语。,Wǒmen dōu xuéxí Hànyǔ.
他们都是中国学生。,Tāmen dōu shì Zhōngguó xuésheng.
他们在做什么？,Tāmen zài zuò shénme?
学生们正在上课。,Xuéshengmen zhèngzài shàng kè.
我想再买一本。,Wǒ xiǎng zài mǎi yì běn.
我再问一个问题，可以吗？,"Wǒ zài wèn yí ge wèntí, kěyǐ ma?"
我想吃面条儿，还想吃包子。,"Wǒ xiǎng chī miàntiáor, hái xiǎng chī bāozi."
我有两个姐姐，还有一个哥哥。,"Wǒ yǒu liǎng ge jiějie, hái yǒu yí ge gēge."
他是学生，我也是学生。,"Tā shì xuésheng, wǒ yě shì xuésheng."
我学习汉语，我弟弟也学习汉语。,"Wǒ xuéxí Hànyǔ, wǒ dìdi yě xuéxí Hànyǔ."
她不是老师。,Tā bú shì lǎoshī.
我没看电视。,Wǒ méi kàn diànshì.
她去超市了，我没有去。,"Tā qù chāoshì le, wǒ méiyǒu qù."
请大家不要说话。,Qǐng dàjiā bú yào shuōhuà.
我想在中国工作。,Wǒ xiǎng zài Zhōngguó gōngzuò.
你在哪儿学习中文？,Nǐ zài nǎr xuéxí Zhōngwén?
我没和她一起去超市。,Wǒ méi hé tā yìqǐ qù chāoshì.
我对老师说“谢谢”。,"Wǒ duì lǎoshī shuō ""xièxie""."
我和姐姐都喜欢唱歌。,Wǒ hé jiějie dōu xǐhuan chànggē.
今天和明天都下雨。,Jīntiān hé míngtiān dōu xià yǔ.
这是你的手机吗？,Zhè shì nǐ de shǒujī ma?
她是我的好朋友。,Tā shì wǒ de hǎo péngyou.
今天我们学了十个汉字。,Jīntiān wǒmen xuéle shí ge hànzì.
我买了一些苹果。,Wǒ mǎile yìxiē píngguǒ.
我们走吧。,Wǒmen zǒu ba.
八点了，起床吧。,"Bā diǎn le, qǐchuáng ba."
她病了，在家休息呢。,"Tā bìng le, zài jiā xiūxi ne."
他是中国人吗？,Tā shì Zhōngguórén ma?
这个电影好看吗？,Zhège diànyǐng hǎokàn ma?
她正在学习呢1。,Tā zhèngzài xuéxí ne.
我是中国人，你呢2？,"Wǒ shì Zhōngguó rén, nǐ ne?"
A：你的手机呢3？,A: Nǐ de shǒujī ne?
B：我的手机在房间里。,B: Wǒ de shǒujī zài fángjiān lǐ.
喂，请问，李老师在吗？,"Wéi, qǐngwèn, Lǐ lǎoshī zài ma?"
喂，你去哪儿？,"Wèi, nǐ qù nǎr?"
哥哥姐姐、今天和明天、有没有,"Gēge jiějie, jīntiān hé míngtiān, yǒu méiyǒu"
好朋友、我的书包、很喜欢,"Hǎo péngyou, wǒ de shūbāo, hěn xǐhuan"
买东西、回学校、去公司,"Mǎi dōngxi, huí xuéxiào, qù gōngsī"
我们学习、孩子高兴、房间很大,"Wǒmen xuéxí, háizi gāoxìng, fángjiān hěn dà"
一杯、两个,"Yì bēi, liǎng ge"
在学校（学习）、对老师（说）、和朋友（说汉语）,"Zài xuéxiào (xuéxí), duì lǎoshī (shuō), hé péngyou (shuō Hànyǔ)"
桌子上、饭店里、椅子下边,"Zhuōzi shàng, fàndiàn lǐ, yǐzi xiàbian"
电影很好看。,Diànyǐng hěn hǎokàn.
她是老师。,Tā shì lǎoshī.
这本书多少钱？,Zhè běn shū duōshao qián?
明天星期三。,Míngtiān xīngqīsān.
那个饭店怎么样？,Nàge fàndiàn zěnmeyàng?
我今年十二，我哥哥十五。,"Wǒ jīnnián shí'èr, wǒ gēge shíwǔ."
这本书二十八块。,Zhè běn shū èrshíbā kuài.
老师来了。,Lǎoshī lái le.
哥哥去学校了。,Gēge qù xuéxiào le.
我的房间不大。,Wǒ de fángjiān bú dà.
这个菜很好吃。,Zhège cài hěn hǎochī.
我喝茶。,Wǒ hē chá.
明天我去找你。,Míngtiān wǒ qù zhǎo nǐ.
我吃了二十个饺子。,Wǒ chīle èrshí ge jiǎozi.
她不会唱中文歌。,Tā bú huì chàng Zhōngwén gē.
我的中文老师是中国人。,Wǒ de Zhōngwén lǎoshī shì Zhōngguórén.
我想买便宜的手机。,Wǒ xiǎng mǎi piányi de shǒujī.
桌子下边有一只小狗。,Zhuōzi xiàbian yǒu yì zhī xiǎo gǒu.
休息一下吧。,Xiūxi yí xià ba.
请问一下，医院在哪儿？,"Qǐngwèn yí xià, yīyuàn zài nǎr?"
我想看一下那件衣服。,Wǒ xiǎng kàn yí xià nà jiàn yīfu.
请写一下你的名字。,Qǐng xiě yí xià nǐ de míngzi.
我买了一个面包。,Wǒ mǎile yí ge miànbāo.
他今天不休息。,Tā jīntiān bù xiūxi.
今天天气很热。,Jīntiān tiānqì hěn rè.
你女儿真漂亮！,Nǐ nǚ'ér zhēn piàoliang!
今天星期一。,Jīntiān xīngqīyī.
现在十二点半。,Xiànzài shí'èr diǎn bàn.
对不起！,Duìbuqǐ!
下雨了。,Xià yǔ le.
她是我的朋友。,Tā shì wǒ de péngyou.
我不想吃面条儿。,Wǒ bù xiǎng chī miàntiáor.
他是中国人吗？,Tā shì Zhōngguórén ma?
他是哪国人？,Tā shì nǎ guó rén?
你想不想学中文？,Nǐ xiǎng bu xiǎng xué Zhōngwén?
你吃没吃晚饭？,Nǐ chī méi chī wǎnfàn?
同学们都来了没有？,Tóngxuémen dōu láile méiyǒu?
今天冷不冷？,Jīntiān lěng bu lěng?
您请坐。,Nín qǐng zuò.
走吧！,Zǒu ba!
请大家不要说话！,Qǐng dàjiā bú yào shuōhuà!
今天真冷啊！,Jīntiān zhēn lěng a!
太贵了！,Tài guì le!
我哥哥是大学生。,Wǒ gēge shì dàxuéshēng.
我有哥哥，没有姐姐。,"Wǒ yǒu gēge, méiyǒu jiějie."
前边是不是电影院？,Qiánbian shì bu shì diànyǐngyuàn?
超市后边是一家饭店。,Chāoshì hòubian shì yì jiā fàndiàn.
学校外边有一家书店。,Xuéxiào wàibian yǒu yì jiā shūdiàn.
桌子上有一本中文书。,Zhuōzi shàng yǒu yì běn Zhōngwén shū.
我来中国学汉语。,Wǒ lái Zhōngguó xué Hànyǔ.
晚上我们去电影院看电影。,Wǎnshang wǒmen qù diànyǐngyuàn kàn diànyǐng.
我坐飞机去上海。,Wǒ zuò fēijī qù Shànghǎi.
爸爸每天开车上班。,Bàba měitiān kāi chē shàng bān.
老师给我一本书。,Lǎoshī gěi wǒ yì běn shū.
我问你一个问题。,Wǒ wèn nǐ yí ge wèntí.
这是我哥哥，他学习中文。,"Zhè shì wǒ gēge, tā xuéxí Zhōngwén."
我有一个姐姐，没有妹妹。,"Wǒ yǒu yí ge jiějie, méiyǒu mèimei."
她今天生病了，不能上课。,"Tā jīntiān shēngbìng le, bù néng shàng kè."
上午去，下午去？你说。,"Shàngwǔ qù, xiàwǔ qù? Nǐ shuō."
我喜欢唱歌，我弟弟也喜欢唱歌。,"Wǒ xǐhuan chànggē, wǒ dìdi yě xǐhuan chànggē."
这家饭店的饺子很好吃，也很便宜。,"Zhè jiā fàndiàn de jiǎozi hěn hǎochī, yě hěn piányi."
这个房间很大，还很漂亮。,"Zhège fángjiān hěn dà, hái hěn piàoliang."
我会说英语，还会说汉语。,"Wǒ huì shuō Yīngyǔ, hái huì shuō Hànyǔ."
你学了多少个汉字？,Nǐ xuéle duōshao ge hànzì?
我买了一些苹果。,Wǒ mǎile yìxiē píngguǒ.
八点了，起床吧。,"Bā diǎn le, qǐchuáng ba."
她病了，在家休息呢。,"Tā bìng le, zài jiā xiūxi ne."
同学们在/正在上课。,Tóngxuémen zài/zhèngzài shàng kè.
王老师在/正在打电话呢。,Wáng lǎoshī zài/zhèngzài dǎ diànhuà ne.
我没看电视，学习呢。,"Wǒ méi kàn diànshì, xuéxí ne."
这本书二十四块（钱）。,Zhè běn shū èrshísì kuài (qián).
包子三块（钱）一个。,Bāozi sān kuài (qián) yí ge.
今天我们学习第六课。,Jīntiān wǒmen xuéxí dì liù kè.
第一本是我的书，第二本是她的书。,"Dì yī běn shì wǒ de shū, dì èr běn shì tā de shū."
2022年2月4日,Èr líng èr èr nián èr yuè sì rì
九月十五号、五月一日,"Jiǔ yuè shíwǔ hào, wǔ yuè yī rì"
星期一、星期二、星期三、星期四、星期五、星期六、星期日/星期天,"Xīngqīyī, xīngqī'èr, xīngqīsān, xīngqīsì, xīngqīwǔ, xīngqīliù, xīngqīrì/xīngqītiān"
两点、七点零五、九点二十（分）、十点半,"Liǎng diǎn, qī diǎn líng wǔ, jiǔ diǎn èrshí (fēn), shí diǎn bàn"
我想坐在教室前面。,Wǒ xiǎng zuò zài jiàoshì qiánmian.
你的书包里面有什么？,Nǐ de shūbāo lǐmian yǒu shénme?
学校后面有一家超市。,Xuéxiào hòumian yǒu yì jiā chāoshì.
左边那件多少钱？,Zuǒbian nà jiàn duōshao qián?
你右边那个人是谁？,Nǐ yòubian nàge rén shì shéi?
那本书能给我看看吗？,Nà běn shū néng gěi wǒ kànkan ma?
请大家说一说自己的爱好。,Qǐng dàjiā shuō yi shuō zìjǐ de àihào.
我尝了尝，觉得很好吃。,"Wǒ cháng le cháng, juéde hěn hǎochī."
喝杯茶，休息休息吧。,"Hē bēi chá, xiūxi xiūxi ba."
她可能回家了。,Tā kěnéng huí jiā le.
小猫可能在房间里。,Xiǎo māo kěnéng zài fángjiān lǐ.
你能帮我一个忙吗？,Nǐ néng bāng wǒ yí ge máng ma?
晚上一起去游游泳，运动一下吧。,"Wǎnshang yìqǐ qù yóuyou yǒng, yùndòng yíxià ba."
星期六的晚上，我喜欢和朋友们一起唱唱歌，跳跳舞。,"Xīngqīliù de wǎnshang, wǒ xǐhuan hé péngyoumen yìqǐ chàngchang gē, tiàotiao wǔ."
有时间你可以去外面跑跑步。,Yǒu shíjiān nǐ kěyǐ qù wàimian pǎopao bù.
他昨天为什么没来上课？,Tā zuótiān wèishénme méi lái shàng kè?
你为什么想学中文？,Nǐ wèishénme xiǎng xué Zhōngwén?
下午我有事，你自己去，可以吗？,"Xiàwǔ wǒ yǒu shì, nǐ zìjǐ qù, kěyǐ ma?"
他为什么学得那么好？,Tā wèishénme xué de nàme hǎo?
那样的事情经常有。,Nàyàng de shìqing jīngcháng yǒu.
这么多人，我们明天再来吧。,"Zhème duō rén, wǒmen míngtiān zài lái ba."
这个字这样写，对吗？,"Zhège zì zhèyàng xiě, duì ma?"
你每天怎么去学校？,Nǐ měitiān zěnme qù xuéxiào?
她高高的个子，大大的眼睛，非常漂亮。,"Tā gāogāo de gèzi, dàdà de yǎnjing, fēicháng piàoliang."
大家高高兴兴地回家了。,Dàjiā gāogāoxìngxìng de huí jiā le.
两万三千、五万零八百、好多东西、好多人、二十多年、五十多人,"Liǎngwàn sānqiān, wǔwàn líng bābǎi, hǎoduō dōngxi, hǎoduō rén, èrshí duō nián, wǔshí duō rén"
一条裤子、一位老师、一间教室、一名学生,"Yì tiáo kùzi, yí wèi lǎoshī, yì jiān jiàoshì, yì míng xuésheng"
一包衣服、一包书,"Yì bāo yīfu, yì bāo shū"
去一次、看一次,"Qù yí cì, kàn yí cì"
这只小狗多可爱啊！,Zhè zhī xiǎo gǒu duō kě'ài a!
这个教室好大啊！,Zhège jiàoshì hǎo dà a!
我最喜欢打篮球。,Wǒ zuì xǐhuan dǎ lánqiú.
晚上我们一起吃饭吧。,Wǎnshang wǒmen yìqǐ chī fàn ba.
一起去看电影，怎么样？,"Yìqǐ qù kàn diànyǐng, zěnmeyàng?"
他还没有起床呢。,Tā hái méiyǒu qǐchuáng ne.
张老师已经下班了。,Zhāng lǎoshī yǐjīng xià bān le.
我有时（候）去超市买东西。,Wǒ yǒu shí(hou) qù chāoshì mǎi dōngxi.
下雨了，快回家吧。,"Xià yǔ le, kuài huí jiā ba."
新年快要到了。,Xīnnián kuàiyào dào le.
我出来的时候，他正睡觉呢。,"Wǒ chūlái de shíhou, tā zhèng shuìjiào ne."
我不常坐地铁。,Wǒ bù cháng zuò dìtiě.
你经常上网买东西吗？,Nǐ jīngcháng shàngwǎng mǎi dōngxi ma?
下雨了，别出去了。,"Xià yǔ le, bié chūqù le."
别忘了，明天有考试。,"Bié wàng le, míngtiān yǒu kǎoshì."
我先休息一会儿再工作。,Wǒ xiān xiūxi yíhuìr zài gōngzuò.
你洗完手再吃水果。,Nǐ xǐwán shǒu zài chī shuǐguǒ.
因为身体不舒服，我就没去上课。,"Yīnwèi shēntǐ bù shūfu, wǒ jiù méi qù shàng kè."
他一到北京就去了长城。,Tā yí dào Běijīng jiù qùle Chángchéng.
都十二点了，快睡觉吧。,"Dōu shí'èr diǎn le, kuài shuìjiào ba."
车站就在那个饭馆旁边。,Chēzhàn jiù zài nàge fànguǎn pángbiān.
就买这件白色的吧。,Jiù mǎi zhè jiàn báisè de ba.
外边很冷，还是多穿一点儿吧。,"Wàibian hěn lěng, háishi duō chuān yìdiǎnr ba."
我们从八点到十二点上课。,Wǒmen cóng bā diǎn dào shí'èr diǎn shàng kè.
你从哪儿来？,Nǐ cóng nǎr lái?
你从这儿往前走。,Nǐ cóng zhèr wǎng qián zǒu.
从这儿往下看，真漂亮啊！,"Cóng zhèr wǎng xià kàn, zhēn piàoliang a!"
这路公交车不从学校门口过。,Zhè lù gōngjiāochē bù cóng xuéxiào ménkǒu guò.
前门没开，咱们从后门进去吧。,"Qiánmén méi kāi, zánmen cóng hòumén jìnqù ba."
我经常给爸爸妈妈打电话。,Wǒ jīngcháng gěi bàba māma dǎ diànhuà.
我给老师买了一杯咖啡。,Wǒ gěi lǎoshī mǎile yì bēi kāfēi.
今天比昨天热。,Jīntiān bǐ zuótiān rè.
我觉得红色的比黑色的好看。,Wǒ juéde hóngsè de bǐ hēisè de hǎokàn.
跟我说说你的爱好吧。,Gēn wǒ shuōshuo nǐ de àihào ba.
我跟他见过一次。,Wǒ gēn tā jiànguo yí cì.
因为中国电影，我开始学习中文。,"Yīnwèi Zhōngguó diànyǐng, wǒ kāishǐ xuéxí Zhōngwén."
爸爸跟妈妈都不在家。,Bàba gēn māma dōu bú zài jiā.
我跟哥哥都在中国上学。,Wǒ gēn gēge dōu zài Zhōngguó shàng xué.
这家饭馆的菜很好吃，但/但是有点儿贵。,"Zhè jiā fànguǎn de cài hěn hǎochī, dàn/dànshì yǒudiǎnr guì."
你不舒服，那就别去了。,"Nǐ bù shūfu, nà jiù bié qù le."
手机虽然不大，但/但是能帮我们做很多事。,"Shǒujī suīrán bú dà, dàn/dànshì néng bāng wǒmen zuò hěn duō shì."
你想喝茶还是喝咖啡？,Nǐ xiǎng hē chá háishi hē kāfēi?
因为我最近每天看手机，所以眼睛有点儿不舒服。,"Yīnwèi wǒ zuìjìn měitiān kàn shǒujī, suǒyǐ yǎnjing yǒudiǎnr bù shūfu."
他汉语说得很好。,Tā Hànyǔ shuō de hěn hǎo.
大家正在高兴地唱歌。,Dàjiā zhèngzài gāoxìng de chànggē.
你学过中文吗？,Nǐ xuéguo Zhōngwén ma?
我没去过北京。,Wǒ méi qùguo Běijīng.
他穿着一条黑色的裤子。,Tā chuānzhe yì tiáo hēisè de kùzi.
教室的门开着。,Jiàoshì de mén kāizhe.
他们唱着歌，跳着舞，非常高兴。,"Tāmen chàngzhe gē, tiàozhe wǔ, fēicháng gāoxìng."
她怎么不在家呢？,Tā zěnme bú zài jiā ne?
明天你想去哪儿呢？,Míngtiān nǐ xiǎng qù nǎr ne?
这是你的手机吧？,Zhè shì nǐ de shǒujī ba?
这么晚了，超市已经关门了吧？,"Zhème wǎn le, chāoshì yǐjīng guānmén le ba?"
我是去年九月来中国的。,Wǒ shì qùnián jiǔ yuè lái Zhōngguó de.
我们是在北京认识的。,Wǒmen shì zài Běijīng rènshi de.
他们是坐飞机去上海的。,Tāmen shì zuò fēijī qù Shànghǎi de.
今天的晚饭是我做的。,Jīntiān de wǎnfàn shì wǒ zuò de.
你汉语说得真好啊！,Nǐ Hànyǔ shuō de zhēn hǎo a!
听懂、回去、跑得很快、等一下,"Tīngdǒng, huíqù, pǎo de hěn kuài, děng yíxià"
老师的、白色的、便宜的、妈妈做的,"Lǎoshī de, báisè de, piányi de, māma zuò de"
来上课、去上海旅游、坐地铁去学校,"Lái shàng kè, qù Shànghǎi lǚyóu, zuò dìtiě qù xuéxiào"
请他来、叫朋友帮忙、让妈妈洗衣服,"Qǐng tā lái, jiào péngyou bāngmáng, ràng māma xǐ yīfu"
新电脑、老师的书、火车票、一个男孩、两条、这间,"Xīn diànnǎo, lǎoshī de shū, huǒchēpiào, yí ge nánhái, liǎng tiáo, zhè jiān"
写汉字、听懂、回去、经常上网、可以进去,"Xiě Hànzì, tīngdǒng, huíqù, jīngcháng shàngwǎng, kěyǐ jìnqù"
很累、非常忙、慢一点儿,"Hěn lèi, fēicháng máng, màn yìdiǎnr"
他喜欢唱歌、跳舞什么的。,"Tā xǐhuan chànggē, tiàowǔ shénme de."
足球、篮球什么的，我都喜欢。,"Zúqiú, lánqiú shénme de, wǒ dōu xǐhuan."
这些菜我都没吃过，还是你点吧。,"Zhèxiē cài wǒ dōu méi chīguo, háishi nǐ diǎn ba."
你还是去医院看看吧。,Nǐ háishi qù yīyuàn kànkan ba.
电影要开始了。,Diànyǐng yào kāishǐ le.
我们快要开学了。,Wǒmen kuàiyào kāixué le.
下星期就要考试了。,Xià xīngqī jiù yào kǎoshì le.
都这么晚了，你怎么还不睡觉？,"Dōu zhème wǎn le, nǐ zěnme hái bú shuìjiào?"
都十一点了，别看电视了。,"Dōu shíyī diǎn le, bié kàn diànshì le."
水果都吃完了。,Shuǐguǒ dōu chīwán le.
那本书我看过了。,Nà běn shū wǒ kànguo le.
她高个子、大眼睛，很漂亮。,"Tā gāo gèzi, dà yǎnjing, hěn piàoliang."
王老师上海人，四十多岁。,"Wáng lǎoshī Shànghǎi rén, sìshí duō suì."
那个唱歌的女孩儿是谁？,Nàge chànggē de nǚháir shì shéi?
这就是儿子我学习汉语的学校。,Zhè jiùshì érzi wǒ xuéxí Hànyǔ de xuéxiào.
我还不知道电影开始的时间。,Wǒ hái bù zhīdao diànyǐng kāishǐ de shíjiān.
这个字你写错了。,Zhège zì nǐ xiěcuò le.
老师的话你听懂了吗？,Lǎoshī de huà nǐ tīngdǒng le ma?
衣服已经洗好了。,Yīfu yǐjīng xǐhǎo le.
我学会游泳了。,Wǒ xuéhuì yóuyǒng le.
题太多了，我没做完。,"Tí tài duō le, wǒ méi zuòwán."
你上来吧，我在楼上等你。,"Nǐ shànglái ba, wǒ zài lóushàng děng nǐ."
太晚了，你快回去吧。,"Tài wǎn le, nǐ kuài huíqù ba."
飞机飞上天了。,Fēijī fēishàng tiān le.
弟弟跑下楼了。,Dìdi pǎoxià lóu le.
老师走进办公室了。,Lǎoshī zǒujìn bàngōngshì le.
他从包里拿出一本书。,Tā cóng bāo lǐ náchū yì běn shū.
我们一起走回学校吧。,Wǒmen yìqǐ zǒuhuí xuéxiào ba.
车开过来了，大家快上车。,"Chē kāiguòlai le, dàjiā kuài shàng chē."
她在那边等着呢，咱们走过去吧。,"Tā zài nàbian děngzhe ne, zánmen zǒuguòqu ba."
他从书包里拿出来一本中文书。,Tā cóng shūbāo lǐ náchūlai yì běn Zhōngwén shū.
妈妈从超市买回来一些水果。,Māma cóng chāoshì mǎihuílai yìxiē shuǐguǒ.
王老师我走进教室来了。,Wáng lǎoshī wǒ zǒujìn jiàoshì lái le.
咱们的车能开进学校去吗？,Zánmen de chē néng kāijìn xuéxiào qù ma?
你可以站起来吗？,Nǐ kěyǐ zhànqǐlai ma?
他们怎么还没有走上来？,Tāmen zěnme hái méiyǒu zǒushànglai?
你在楼上等我，我给你送上去。,"Nǐ zài lóushàng děng wǒ, wǒ gěi nǐ sòngshàngqu."
他们从山上走下来了。,Tāmen cóng shān shàng zǒuxiàlai le.
这些东西你帮我拿下去吧。,Zhèxiē dōngxi nǐ bāng wǒ náxiàqu ba.
大家玩儿得很高兴。,Dàjiā wánr de hěn gāoxìng.
他篮球打得很好。,Tā lánqiú dǎ de hěn hǎo.
我学了两年中文了。,Wǒ xuéle liǎng nián Zhōngwén le.
我等了她一个多小时。,Wǒ děngle tā yí ge duō xiǎoshí.
他们昨天看了一晚上的电视。,Tāmen zuótiān kànle yì wǎnshang de diànshì.
坐地铁比坐公交车快一些。,Zuò dìtiě bǐ zuò gōngjiāochē kuài yìxiē.
我哥哥比我大两岁。,Wǒ gēge bǐ wǒ dà liǎng suì.
她个子很高。,Tā gèzi hěn gāo.
这件事我知道。,Zhè jiàn shì wǒ zhīdao.
是我自己去，还是你跟我一起去？,"Shì wǒ zìjǐ qù, háishi nǐ gēn wǒ yìqǐ qù?"
你喜欢打篮球，还是喜欢踢足球？,"Nǐ xǐhuan dǎ lánqiú, háishi xǐhuan tī zúqiú?"
下雨了，别出去了。,"Xià yǔ le, bié chūqù le."
别忘了，明天有考试。,"Bié wàng le, míngtiān yǒu kǎoshì."
那件衣服是新的。,Nà jiàn yīfu shì xīn de.
这个手机是坏的，不能用。,"Zhège shǒujī shì huài de, bù néng yòng."
王老师有三十岁吗？,Wáng lǎoshī yǒu sānshí suì ma?
这些水果有一百块钱吗？,Zhèxiē shuǐguǒ yǒu yìbǎi kuài qián ma?
门口站着一个人。,Ménkǒu zhànzhe yí ge rén.
教室里坐着十几个学生。,Jiàoshì lǐ zuòzhe shí jǐ ge xuésheng.
姐姐比我高。,Jiějie bǐ wǒ gāo.
公交车比地铁便宜。,Gōngjiāochē bǐ dìtiě piányi.
哥哥比我大两岁。,Gēge bǐ wǒ dà liǎng suì.
咖啡比奶茶贵一点儿。,Kāfēi bǐ nǎichá guì yìdiǎnr.
今天比昨天冷多了。,Jīntiān bǐ zuótiān lěng duō le.
姐姐的个子比妹妹高得多。,Jiějie de gèzi bǐ mèimei gāo de duō.
你有他高吗？,Nǐ yǒu tā gāo ma?
今天没有昨天（那么）冷。,Jīntiān méiyǒu zuótiān (nàme) lěng.
我的汉语没有你（这么）好。,Wǒ de Hànyǔ méiyǒu nǐ (zhème) hǎo.
她比我说得好。,Tā bǐ wǒ shuō de hǎo.
我跑得比弟弟快。,Wǒ pǎo de bǐ dìdi kuài.
我是去年九月来中国的。,Wǒ shì qùnián jiǔ yuè lái Zhōngguó de.
我们是在北京认识的。,Wǒmen shì zài Běijīng rènshi de.
他们是坐飞机去上海的。,Tāmen shì zuò fēijī qù Shànghǎi de.
今天的晚饭是我做的。,Jīntiān de wǎnfàn shì wǒ zuò de.
妈妈叫我去超市买水果。,Māma jiào wǒ qù chāoshì mǎi shuǐguǒ.
我想请老师教我中文。,Wǒ xiǎng qǐng lǎoshī jiāo wǒ Zhōngwén.
老师让我们介绍一下自己的爱好。,Lǎoshī ràng wǒmen jièshào yíxià zìjǐ de àihào.
