note_id,key,simplified,old_traditional,new_traditional,wiktionary_corroborates
1393817667655,2006,其余,其余,其餘,yes
1393817667657,2008,洒,洒,灑,yes
1393817667658,2009,证件,証件,證件,yes
1393817667665,2016,落后,落后,落後,yes
1393817667667,2018,特征,特征,特徵,yes
1393817667692,2043,奋斗,奮斗,奮鬥,yes
1393817667740,2091,多余,多余,多餘,yes
1393817667779,2130,后背,后背,後背,yes
1393817667781,2132,窗帘,窗帘,窗簾,yes
1393817667786,2137,台阶,台階,臺階,yes
1393817667881,2232,休闲,休閑,休閒,yes
1393817667883,2234,昆虫,昆虫,昆蟲,yes
1393817667896,2247,日历,日歷,日曆,yes
1393817667910,2261,称赞,稱贊,稱讚,yes
1393817667926,2277,厘米,厘米,釐米,yes
1393817667972,2323,征求,征求,徵求,yes
1393817667986,2337,空闲,空閑,空閒,yes
1393817667990,2341,干燥,干燥,乾燥,yes
1393817668013,2364,舍不得,舍不得,捨不得,yes
1393817668023,2374,分布,分布,分佈,yes
1393817668073,2424,游览,游覽,遊覽,yes
1393817668096,2447,能干,能干,能幹,yes
1393817668125,2476,干活儿,干活兒,幹活兒,yes
1393817668143,2494,挂号,挂號,掛號,yes
1393817668159,2510,拜托,拜托,拜託,yes
1393817668162,2513,尸体,尸體,屍體,yes
1393817668168,2519,凶手,凶手,兇手,yes
1393817668222,2573,战斗,戰斗,戰鬥,yes
1393817668227,2578,解雇,解雇,解僱,yes
1393817668330,2681,证实,証實,證實,yes
1393817668427,2778,冲动,沖動,衝動,yes
1393817668487,2838,瞄准,瞄准,瞄準,yes
1393817668498,2849,委托,委托,委託,yes
1393817668500,2851,冲突,沖突,衝突,yes
1393817668512,2863,欲望,欲望,慾望,yes
1393817668518,2869,雇佣,雇佣,僱傭,yes
1393817668537,2888,斗争,斗爭,鬥爭,yes
1393817668629,2980,侄子,侄子,姪子,yes
1393817668650,3001,布置,布置,佈置,yes
1393817668748,3099,防御,防御,防禦,yes
1393817668825,3176,杰出,杰出,傑出,yes
1393817668915,3266,扑,扑,撲,yes
1393817669024,3375,忧郁,憂郁,憂鬱,yes
1393817669073,3424,师范,師范,師範,yes
1393817669088,3439,后代,后代,後代,yes
1393817669109,3460,准则,准則,準則,yes
1393817669113,3464,示范,示范,示範,yes
1393817669229,3580,搏斗,搏斗,搏鬥,yes
1393817669250,3601,挑衅,挑舋,挑釁,yes
1393817669281,3632,证书,証書,證書,yes
1393817669302,3653,验证,驗証,驗證,yes
1393817669326,3677,苏醒,蘇醒,甦醒,yes
1393817669357,3708,别扭,別扭,彆扭,yes
1393817669365,3716,精致,精致,精緻,yes
1393817669406,3757,向导,向導,嚮導,yes
1393817669415,3766,合伙,合伙,合夥,yes
1393817669425,3776,模范,模范,模範,yes
1393817669487,3838,向往,向往,嚮往,yes
1393817669492,3843,侥幸,僥幸,僥倖,yes
1393817669586,3937,事迹,事跡,事蹟,yes
1393817669619,3970,胡须,胡須,鬍鬚,yes
1393817669642,3993,台风,台風,颱風,no
1393817669670,4021,庄稼,庄稼,莊稼,yes
1393817669678,4029,规范,規范,規範,yes
1393817669690,4041,驻扎,駐扎,駐紮,yes
1393817669692,4043,庄严,庄嚴,莊嚴,yes
1393817669699,4050,呼吁,呼吁,呼籲,yes
1393817669710,4061,潇洒,瀟洒,瀟灑,yes
1393817669714,4065,周期,周期,週期,yes
1393817669725,4076,寄托,寄托,寄託,yes
1393817669745,4096,丑恶,丑惡,醜惡,yes
1393817669781,4132,泄气,泄氣,洩氣,yes
1393817669892,4243,闲话,閑話,閒話,yes
1393817669907,4258,干劲,干勁,幹勁,yes
1393817669947,4298,庄重,庄重,莊重,yes
1393817669957,4308,细致,細致,細緻,yes
1393817669982,4333,才干,才干,才幹,yes
1393817670029,4380,汹涌,洶涌,洶湧,yes
1393817670044,4395,后勤,后勤,後勤,yes
1393817670062,4413,范畴,范疇,範疇,yes
1393817670076,4427,布局,布局,佈局,yes
1393817670092,4443,里程碑,裡程碑,里程碑,yes
1393817670102,4453,干旱,干旱,乾旱,yes
1393817670112,4463,无精打采,無精打採,無精打采,yes
1393817670166,4517,悬挂,懸挂,懸掛,yes
1393817670192,4543,赞叹,贊嘆,讚嘆,yes
1393817670215,4566,兴高采烈,興高採烈,興高采烈,yes
1393817670225,4576,杠杆,杠杆,槓桿,yes
1393817670226,4577,朴素,朴素,樸素,yes
1393817670227,4578,开辟,開辟,開闢,yes
1393817670236,4587,狼吞虎咽,狼吞虎咽,狼吞虎嚥,yes
1393817670265,4616,论证,論証,論證,yes
1393817670330,4681,啰唆,啰唆,囉唆,no
1393817670334,4685,公证,公証,公證,yes
1393817670335,4686,佳肴,佳肴,佳餚,yes
1393817670342,4693,涌现,涌現,湧現,yes
1393817670343,4694,朴实,朴實,樸實,yes
1393817670370,4721,起哄,起哄,起鬨,yes
1393817670407,4758,涂抹,涂抹,塗抹,yes
1393817670430,4781,空前绝后,空前絕后,空前絕後,yes
1393817670473,4824,征收,征收,徵收,yes
1393817670483,4834,熏陶,熏陶,薰陶,yes
1393817670498,4849,争先恐后,爭先恐后,爭先恐後,yes
1393817670500,4851,骨干,骨干,骨幹,yes
1393817670524,4875,后顾之忧,后顧之憂,後顧之憂,yes
1393817670537,4888,依托,依托,依託,yes
1393817670547,4898,布告,布告,佈告,yes
1393817670565,4916,锲而不舍,鍥而不舍,鍥而不捨,yes
1393817670566,4917,辩证,辯証,辯證,yes
1393817670599,4950,稻谷,稻谷,稻穀,yes
1393817670641,4992,农历,農歷,農曆,yes
1747401105101,苏格兰,苏格兰,,蘇格蘭,yes
