chinese,english
这么晚了，超市已经关门了吧？,"It's so late – I suppose the supermarket's closed by now, isn't it?"
我是去年九月来中国的。,I came to China last September.
我们是在北京认识的。,We met in Beijing.
他们是坐飞机去上海的。,They flew to Shanghai.
今天的晚饭是我做的。,I cooked dinner tonight.
你汉语说得真好啊！,Your Chinese is really excellent!
听懂、回去、跑得很快、等一下,"Understood, go back, run very fast, wait a moment"
老师的、白色的、便宜的、妈妈做的,"The teacher's, white, cheap, made by Mum"
来上课、去上海旅游、坐地铁去学校,"Attend classes, go on a trip to Shanghai, take the underground to university"
请他来、叫朋友帮忙、让妈妈洗衣服,"Invite him round, ask a friend for help, ask Mum to do the washing"
新电脑、老师的书、火车票、一个男孩、两条、这间,"A new computer, the teacher's book, a train ticket, a boy, two, this room"
写汉字、听懂、回去、经常上网、可以进去,"Write Chinese characters, understand, go home, go online frequently, be able to go in"
很累、非常忙、慢一点儿,"I'm exhausted, really busy – take it easy"
他喜欢唱歌、跳舞什么的。,"He likes singing, dancing and things like that."
足球、篮球什么的，我都喜欢。,"I like football, basketball and the like."
这些菜我都没吃过，还是你点吧。,"I've never tried any of these dishes before, so you'd better choose."
你还是去医院看看吧。,You'd better go to the hospital and get it checked out.
电影要开始了。,The film is about to start.
我们快要开学了。,The new term is about to begin.
下星期就要考试了。,The exam is next week.
都这么晚了，你怎么还不睡觉？,It's so late – why aren't you in bed yet?
都十一点了，别看电视了。,It's already 11 o'clock; stop watching telly.
水果都吃完了。,We've eaten all the fruit.
那本书我看过了。,I've read that book.
她高个子、大眼睛，很漂亮。,"She is tall, has big eyes and is very pretty."
王老师上海人，四十多岁。,Mr Wang is from Shanghai and is in his forties.
那个唱歌的女孩儿是谁？,Who is that girl singing?
这就是儿子我学习汉语的学校。,"This is the school where I, the son, am learning Chinese."
我还不知道电影开始的时间。,I don't know what time the film starts yet.
这个字你写错了。,You've written that character wrong.
老师的话你听懂了吗？,Did you understand what the teacher said?
衣服已经洗好了。,The washing is done.
我学会游泳了。,I've learnt to swim.
题太多了，我没做完。,There were too many questions; I didn't manage to finish them all.
你上来吧，我在楼上等你。,Come on up; I'll be waiting for you upstairs.
太晚了，你快回去吧。,It's getting late; you'd better head home.
飞机飞上天了。,The aeroplane took to the skies.
弟弟跑下楼了。,My little brother ran downstairs.
老师走进办公室了。,The teacher walked into the office.
他从包里拿出一本书。,He took a book out of his bag.
我们一起走回学校吧。,Let's walk back to school together.
车开过来了，大家快上车。,"The car's coming; everyone, hop in."
她在那边等着呢，咱们走过去吧。,She's waiting over there; let's go over to her.
他从书包里拿出来一本中文书。,He took a Chinese book out of his schoolbag.
妈妈从超市买回来一些水果。,Mum brought some fruit back from the supermarket.
王老师我走进教室来了。,"Mr Wang, I've just walked into the classroom."
咱们的车能开进学校去吗？,Can we drive our car into the school grounds?
你可以站起来吗？,Can you stand up?
他们怎么还没有走上来？,Why haven't they come up yet?
你在楼上等我，我给你送上去。,Wait for me upstairs; I'll bring it up to you.
他们从山上走下来了。,They came down from the mountain.
这些东西你帮我拿下去吧。,Could you take these things down for me?
大家玩儿得很高兴。,Everyone was having a great time.
他篮球打得很好。,He's very good at basketball.
我学了两年中文了。,I've been learning Chinese for two years.
我等了她一个多小时。,I waited for her for over an hour.
他们昨天看了一晚上的电视。,They watched television all evening yesterday.
坐地铁比坐公交车快一些。,Taking the underground is a bit quicker than taking the bus.
我哥哥比我大两岁。,My brother is two years older than me.
她个子很高。,She is very tall.
这件事我知道。,I'm aware of that.
是我自己去，还是你跟我一起去？,"Shall I go on my own, or are you coming with me?"
你喜欢打篮球，还是喜欢踢足球？,Do you prefer playing basketball or football?
那件衣服是新的。,That shirt is new.
这个手机是坏的，不能用。,This mobile phone is faulty and doesn't work.
王老师有三十岁吗？,Is Mr Wang thirty years old?
这些水果有一百块钱吗？,Do these fruits cost a hundred yuan?
门口站着一个人。,There was a person standing at the door.
教室里坐着十几个学生。,There were a dozen or so pupils sitting in the classroom.
姐姐比我高。,My sister is taller than me.
公交车比地铁便宜。,Buses are cheaper than the underground.
哥哥比我大两岁。,My brother is two years older than me.
咖啡比奶茶贵一点儿。,Coffee is a little more expensive than milk tea.
今天比昨天冷多了。,It's much colder today than it was yesterday.
姐姐的个子比妹妹高得多。,The older sister is much taller than her younger sister.
你有他高吗？,Are you as tall as him?
今天没有昨天（那么）冷。,It isn't (quite) as cold today as it was yesterday.
我的汉语没有你（这么）好。,My Chinese isn't (as) good as yours.
她比我说得好。,She put it better than I did.
我跑得比弟弟快。,I run faster than my younger brother.
妈妈叫我去超市买水果。,Mum asked me to go to the supermarket to buy some fruit.
我想请老师教我中文。,I'd like to ask the teacher to teach me Chinese.
老师让我们介绍一下自己的爱好。,The teacher asked us to talk about our hobbies.
爸爸送给我一个新手机。,Dad gave me a new mobile phone.
他卖给我一本中文书。,He sold me a book in Chinese.
你（是）喝茶，还是喝咖啡？,Do you prefer tea or coffee?
你（是）喜欢白色的，还是黑色的？,Do you prefer white or black?
虽然学习的时间不长，但是他汉语说得很好。,"Although he hasn't been studying for very long, his Mandarin is excellent."
学汉语虽然难，但是很有意思。,"Learning Chinese is difficult, but it's great fun."
因为机票太贵了，所以我准备坐火车去。,"As the plane tickets are too expensive, I'm planning to go by train."
因为我爸爸在中国工作，所以我来这儿学习中文。,"As my father works in China, I've come here to learn Chinese."
他一下课就去打篮球了。,He went to play basketball as soon as the lesson was over.
我一到商场就想买东西。,"As soon as I get to the shopping centre, I feel like buying something."
门开着，你进去吧。,The door's open; do come in.
别站着，快请坐。,Don't stand there; please take a seat.
他们正吃着饭呢。,They were having their meal.
教室里正上着课呢。,A lesson is currently taking place in the classroom.
我的房间在三楼。,My room is on the third floor.
你可以坐304路公交车。,You can take the No. 304 bus.
这几件衣服你帮我洗一下。,Could you wash these few items of clothing for me?
我们学校有几百名外国学生。,Our school has several hundred international students.
教室里有二十多个学生。,There are more than twenty pupils in the classroom.
那个手机五千多块钱。,"That mobile phone costs over 5,000 yuan."
我来中国已经三年多了。,I've been in China for over three years now.
王老师的儿子今年六岁多了。,Mr Wang's son is just over six years old this year.
这家饭店的经理老李是我的朋友。,"Mr Li, the manager of this restaurant, is a friend of mine."
你听说过这个画家吗？,Have you ever heard of this painter?
屋子有点儿小，可是很干净。,"The flat is a bit small, but it's very clean."
她以前是一名羽毛球运动员。,She used to be a badminton player.
我听说北方的冬天很冷。,I've heard that winters in the north are very cold.
中国的北方和南方我都去过。,I have been to both the north and the south of China.
你们两个人中间的那个人是谁？,Who is the person between the two of you?
东方人和西方人的生活习惯不太一样。,The lifestyles of people in the East and the West are somewhat different.
从这儿过去，大概需要多长时间？,How long does it take to get there from here?
医生说我感冒了，需要吃药。,The doctor said I've got a cold and need to take some medicine.
已经十一点了，你该睡觉了。,It's already 11 o'clock; you should go to bed.
你学了一天了，该休息休息了。,You've been studying all day; it's time to have a rest.
我们应该多练习说中文。,We should practise speaking Chinese more often.
我要去动物园，应该怎么坐车呢？,I'm going to the zoo. How should I get there?
你愿意帮我学习汉语吗？,Would you be willing to help me learn Chinese?
我很愿意参加这次汉语比赛。,I would very much like to take part in this Chinese language competition.
要上课了，咱们得快点儿走。,"Class is about to start, so we'd better get a move on."
我明天有考试，今天得认真复习。,"I've got an exam tomorrow, so I need to revise properly today."
我放了假就准备去旅游。,"As soon as I'm on holiday, I'm planning to go on a trip."
我们已经很长时间没见过面了。,It's been a long time since we last saw each other.
结了婚以后，你还打算工作吗？,Do you plan to carry on working after you get married?
你先去洗个澡，休息一会儿。,Why don't you have a shower first and have a rest for a while?
我打不开这瓶水，你能帮帮我吗？,I can't open this bottle of water. Could you give me a hand?
黑板上的字你看得见吗？,Can you see the writing on the blackboard?
他已经离不开这个地方了。,He has come to rely on this place.
今天的作业我可能完不成了。,I don't think I'll be able to finish today's homework.
我的中文越来越好，跟老师的帮助是分不开的。,"My Chinese is getting better and better, and this is largely thanks to my teacher's help."
怎样才能学好中文呢？,How can I learn Chinese effectively?
他是怎样一个人？,What sort of person is he?
这次旅行谁都可以参加。,Anyone is welcome to join this trip.
我最近感冒了，哪儿都没去。,"I've had a cold recently, so I haven't been anywhere."
谁感兴趣谁就去参加。,Anyone who's interested is welcome to take part.
你想吃什么就点什么吧。,Just order whatever you fancy.
我好像在哪儿见过她。,I feel as though I've seen her somewhere before.
你先吃点儿什么再走吧。,Why don't you have a bite to eat before you go?
我下周搬家，想请谁来帮帮忙。,I'm moving house next week and I'd like to ask someone to give me a hand.
咱们哪天一起去踢足球吧。,Let's go and play football together one of these days.
我不太清楚，你问问别人吧。,I'm not really sure; why don't you ask someone else?
别人能学好，我也一定能学好。,"If others can learn it well, I'm sure I can too."
咱们明天一起去动物园，怎么样？,Shall we go to the zoo together tomorrow?
要迟到了，咱们快走吧。,We're going to be late – let's get a move on.
除了北京，你还去过别的城市吗？,"Apart from Beijing, have you been to any other cities?"
我喜欢学习别的国家的语言和文化。,I enjoy learning about the languages and cultures of other countries.
其他同学都回国了，只有我还在中国。,All the other students have gone back to their home countries; I'm the only one still in China.
除了看足球比赛，你还有其他爱好吗？,"Apart from watching football matches, do you have any other hobbies?"
下雨了，记得带一把伞。,"It's raining, so do remember to take an umbrella."
我在网上买了两双鞋。,I bought two pairs of shoes online.
桌子上放着几张照片。,There were a few photographs on the table.
这里有多少种水果？,How many different types of fruit are there here?
我们的教室在四层。,Our classroom is on the fourth floor.
我想给我的爸爸妈妈写一封信。,I'd like to write a letter to my mum and dad.
请大家打开书，第五页。,Please open your books to page five.
那辆黑色的自行车是我的。,That black bicycle is mine.
我每周都有一节中文课。,I have one Chinese lesson every week.
这个城市一共有三所大学。,There are three universities in this city.
咱们坐下一班地铁走吧。,Let's take the next underground train.
请大家用这些词写一段话。,Please use these words to write a short paragraph.
爷爷家里养了十几头牛。,My grandfather keeps more than a dozen cows at his house.
这句话是什么意思？,What does this sentence mean?
苹果多少钱一斤/公斤？,How much do apples cost per jin or per kilogram?
这些一共八块五角（毛）钱。,That comes to a total of eight jiao (mao) in all.
现在八点一刻。,It is now a quarter past eight.
我哥哥身高一米八五。,My brother is 1.85 metres tall.
我要一碗面条和一碗米饭。,I'd like a bowl of noodles and a bowl of rice.
中午我在食堂吃了一盘饺子。,"At lunchtime, I had a plate of dumplings in the canteen."
他喝了一口茶，然后开始工作。,"He took a sip of tea, then set to work."
我已经说过好几回了，但他还是不记得。,"I've told him several times already, but he still can't seem to remember."
对不起，我没听懂，请再说一遍。,"I'm sorry, I didn't catch that. Could you repeat that, please?"
她跟我说了一声“谢谢”就走了。,She said ‘thank you' to me and then left.
这些苹果个个都很大。,These apples are all very large.
他画的画，张张都很漂亮。,Every single one of his paintings is beautiful.
这本书的内容比较简单，我读得很快。,"The content of this book is fairly straightforward, so I read it quite quickly."
外面太热了，屋子里还凉快一些。,It's too hot outside; it's a bit cooler indoors.
搬家以后，我们的生活更方便了。,"Since moving house, our lives have become much more convenient."
我弟弟特别喜欢看足球比赛。,My younger brother really loves watching football matches.
多穿点儿衣服，外面挺冷的。,Wrap up warm; it's quite cold outside.
孩子这么晚还没回来，妈妈心里有些着急。,"The child hadn't come home yet, so Mum was starting to worry a little."
冬天快要到了，天气越来越冷了。,"Winter is fast approaching, and the weather is getting colder and colder."
我对中国历史极有兴趣。,I am extremely interested in Chinese history.
他工作特别忙，周末极少休息。,He is extremely busy at work and rarely gets to rest at the weekend.
我就要两斤苹果，不要别的。,"I'd like two jin of apples, nothing else."
办公室里就张老师一个人。,Mr Zhang was the only person in the office.
你跟我一块儿去图书馆，好吗？,Would you like to come to the library with me?
我们经常一块儿踢足球。,We often play football together.
你们班一共有多少留学生？,How many international students are there in your class?
这些水果一共多少钱？,How much do these fruits cost in total?
我只有一个哥哥，没有弟弟妹妹。,I have only one older brother; I have no younger brothers or sisters.
她只说了自己的名字，没说别的。,She simply gave her name and said nothing else.
公园里到处都是锻炼身体的老人。,The park is full of elderly people doing exercise.
她只是笑了笑，一句话也没说。,She just smiled and didn't say a word.
他才到家，还没有吃饭呢。,He's only just got home; he hasn't had anything to eat yet.
我才搬来北京，还不太习惯这里的生活,"I've only just moved to Beijing, so I'm not quite used to life here yet."
请等一下，我马上来。,Please wait a moment; I'll be right there.
接了电话，她马上就跑出去了。,"As soon as she answered the phone, she rushed out."
你先走吧，我还有工作要做。,You go on ahead; I've still got some work to do.
我想先洗个澡，然后再写作业。,"I'd like to have a shower first, and then do my homework."
最近天气变化很快，一会儿阴，一会儿晴。,"The weather has been changing rapidly of late; one moment it's overcast, the next it's sunny."
他刚开始学汉语，说得还不太好。,"He has only just started learning Chinese, so his Chinese isn't very good yet."
报纸是早上刚送来的。,The newspapers had just been delivered that morning.
刚刚还是晴天，怎么突然下雨了？,It was sunny just a moment ago – why has it suddenly started raining?
他不在，刚刚出去。,He's not here; he's just gone out.
我一直都住在北京。,I've always lived in Beijing.
别出去了，外面一直在下雨。,Don't go out; it's been raining all this time.
一到冬天，孩子就总生病。,"As soon as winter arrives, the child is always falling ill."
上学的时候，我总是让爸爸开车送我。,"When I was at school, my dad always used to drive me there."
那个电影太有意思了，我昨天又看了一遍。,That film was so entertaining; I watched it again yesterday.
下课以后，我常常去体育馆打篮球。,"After school, I often go to the sports hall to play basketball."
孩子们高兴地一边唱歌一边跳舞。,The children were happily singing and dancing.
我想找一个工作，一边工作一边学习。,I'd like to find a job so that I can work and study at the same time.
他大概已经回家了。,He's probably gone home by now.
你们学校大概有多少留学生？,"How many international students are there at your university, roughly?"
我必须做完才能下班。,I have to finish this before I can leave work.
老师要求我们必须每天复习。,The teacher has told us that we must revise every day.
我学习中文差不多三年了。,I've been learning Chinese for nearly three years.
我跟哥哥差不多高。,I'm about the same height as my brother.
放心，我一定不会迟到。,"Don't worry, I certainly won't be late."
我明天不一定有时间。,I'm not sure I'll be free tomorrow.
她好像没有明白我的意思。,It seems she didn't quite understand what I meant.
我好像在哪里见过她。,I feel as though I've seen her somewhere before.
