entry,pos,meaning
怕,动,to be afraid/to fear/to dread/to be unable to endure
怕,副,perhaps
起,动,"to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/starting from (a time, place, price etc)"
起,量,"classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group"
清楚,形,clear/distinct
清楚,动,to understand thoroughly/to be clear about
声,名,sound/voice/tone/noise/reputation
声,量,classifier for sounds
生活,名,life/livelihood
生活,动,to live
特别,形,unusual; special
特别,副,very; especially; particularly/expressly; for a specific purpose/(often followed by 是[shi4]) in particular
外卖,动,(of a restaurant) to provide a takeout or home delivery meal
外卖,名,takeout (business)/takeout (meal)
习惯,动,to be used to
习惯,名,habit/custom/usual practice
像,动,to resemble/to be like/to look as if
像,副,such as
像,名,appearance/image/portrait/image under a mapping (math.)
要求,动,to request/to require/to stake a claim/to ask/to demand
要求,名,requirement
一定,形,fixed/a certain (extent etc)/given/particular
一定,副,surely/certainly/necessarily/must
影响,动,to influence/to affect (usually adversely)/to disturb
影响,名,influence/effect
有关,动,to have sth to do with/to relate to/related to/to concern
有关,介,concerning
只是,副,merely; only; just; nothing but/simply
只是,连,but; however
边,名,side/edge/margin/border/boundary
边,副,simultaneously
号,名,ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name
号,量,classifier used to indicate number of people
号,动,to take a pulse
回,动,to circle/to go back/to turn around/to answer/to return/to revolve
回,量,time/classifier for acts of a play/section or chapter (of a classic book)
回,名,Hui ethnic group (Chinese Muslims)
日,量,day
日,名,"sun/date, day of the month"
小,形,small/tiny/few/young
比,动,to compare/to gesture
比,介,(followed by a noun and adjective) more {adj.} than {noun}
比,名,ratio
笔,名,"writing brush; writing implement (pen, pencil etc)/brushstroke; stroke (in painting or calligraphy)/(bound form) style of writing; literary manner; technique of brushwork"
笔,量,(classifier) stroke of a Chinese character/(classifier) sum of money; financial transaction; piece of business
笔,动,(literary) to write (with a brush or pen)
次,量,classifier for enumerated events: time
次,形,"next in sequence/second/the second (day, time etc)/secondary/inferior quality/substandard"
次,前缀,vice-/sub-/infra-/hypo- (chemistry)
次,名,order/sequence
从,介,from; through; via
从,副,(used before a negative) ever
从,动,(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)
从,名,(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate
从,形,(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor
点2,动,"to touch briefly; to tap/to mark with a dot; to check off (on a list)/to order (food etc); to select/to mention; to bring up (a topic or person)/to hint at; to imply/to administer (eye medicine etc) in drops/to light (a fire, a lamp etc); to ignite/to nod (one's head) in agreement; to beckon by moving (one's hand) up and down"
高,形,high/tall/above average/loud/your (honorific)
就,副,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...
就,介,(often followed by 著|着[zhe5]) taking advantage of/with regard to; concerning
就,动,to approach; to move towards/to undertake; to engage in/(of food) to go with
快,形,rapid/quick/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant
快,副,soon/almost
快,名,speed/rate
快,动,to make haste
每,代,each/every
名,名,name/noun (part of speech)/place (e.g. among winners)
名,量,classifier for people
名,形,famous
往,动,to go (in a direction)
往,介,to/towards/(of a train) bound for
往,形,past/previous
一会儿,数量,a moment/a while
一会儿,副,in a moment/now...now...
正,副,exactly/just (at that time)/right (in that place)
正,形,straight/upright/proper/main/principal/(math.) positive
正,动,to correct/to rectify
周,名,circle/circumference/lap/cycle
周,动,to make a circuit/to circle/to help financially
周,形,complete/all/all over/thorough
把,量,"classifier: handful, bundle, bunch/classifier for things with handles"
把,介,(used to put the object before the verb: 把[ba3] + {noun} + {verb})
把,动,to hold; to grasp/to hold a baby in position to help it urinate or defecate
把,名,handlebar
比较,动,to compare/to contrast
比较,副,comparatively/relatively/quite
比较,名,comparison
冰,名,ice/(slang) methamphetamine
冰,动,to chill sth/(of an object or substance) to feel cold
冰,形,(of a person) cold/unfriendly
差,形,different/wrong; mistaken/not up to standard; inferior
差,动,to fall short; to lack
决定,动,to decide (to do something)/to resolve
决定,名,decision
决定,副,certainly
可,连,but; however
可,动,to approve; to permit/to suit
可,前缀,(prefix) can; may; able to; -able
可,助,(particle used for emphasis) certainly; very
刻,量,quarter (hour)/moment/classifier for short time intervals
刻,动,to carve/to engrave/to cut
刻,形,oppressive
毛,量,"classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
毛,名,hair/feather/down/wool/mildew/mold
毛,形,coarse or semifinished/young/raw/careless/unthinking/nervous/scared
毛,动,(of currency) to devalue or depreciate
难,形,difficult (to...)/difficult/not good
难,名,problem/difficulty
挺,副,(coll.) quite/very
挺,动,to stick out (a part of the body)/to (physically) straighten up/to support/to withstand
挺,形,straight/erect/outstanding
挺,量,classifier for machine guns
向,动,to face/to turn towards/to support/to side with
向,介,towards
向,名,direction
向,副,shortly before/formerly/always/all along
向,后缀,(suffix) suitable for .../oriented to ...
小心,动,to be careful/to take care
信,动,to trust/to believe/to profess faith in
信,名,letter/mail/confidence/trust
信,形,truthful
信,副,at will/at random
张,动,to open up/to spread
张,量,"classifier for flat objects, sheet/classifier for votes"
张,名,sheet of paper
总,副,in every case; always; invariably/anyway; after all; eventually; sooner or later/surely
总,动,to sum up
总,形,(bound form) general; overall
总,名,(after a person's name) abbr. for 總經理|总经理[zong3 jing1 li3] or 總編|总编[zong3 bian1] etc
按,动,to press/to push/to leave aside or shelve/to control/to restrain/to keep one's hand on/to check or refer to/(of an editor or author) to make a comment
按,介,according to/in the light of
棒,形,smart/capable/strong/wonderful
棒,名,stick/club/cudgel
棒,量,classifier for legs of a relay race
保证,动,to guarantee/to ensure/to safeguard/to pledge
保证,名,guarantee
本来,形,original
本来,副,originally/at first/it goes without saying/of course
标准,名,standard; norm; criterion
标准,形,(adjective) standard/good; correct; conforming to a standard
表,名,exterior surface/family relationship via females/a model/a table (listing information)/a form/a meter (measuring sth)
表,动,to show (one's opinion)
并,动,to combine/to join/to merge
并,副,furthermore/also/(not) at all/simultaneously
并,连,and/together with
不便,形,inconvenient/inappropriate/unsuitable/short of cash
不断,副,unceasing/uninterrupted/continuous/constant
不够,动,not enough/insufficient/inadequate
不过,连,but/however/anyway (to get back to a previous topic)
不过,副,only/merely/no more than/cannot be more (after adjectival)
部,名,ministry/department/section/part/division/troops/board
部,量,"classifier for works of literature, films, machines etc"
不光,副,not the only one
不光,连,not only
成功,动,to succeed
成功,形,successful; fruitful
成功,名,success
出口,名,an exit
出口,动,to speak/to export/(of a ship) to leave port
错误,形,mistaken; false; wrong
错误,名,error; mistake
导游,动,to conduct a tour
导游,名,tour guide/guidebook
道,名,road; path/(bound form) way; reason; principle/(bound form) a skill; an art; a specialization/(Daoism) the Way; the Dao/(old) circuit (administrative division)
道,量,"classifier for long thin things (rivers, cracks, shadows etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process"
道,动,"to say (introducing a direct quotation, as in a novel)/(bound form) to express; to extend (polite words)"
等2,助,and so on; etc.; et al./(used to end an enumeration)
等2,名,(bound form) class; rank; grade
等2,动,(bound form) equal to; same as
等2,后缀,(literary) (plural suffix attached to a personal pronoun or noun)
低,形,low/beneath
低,动,to lower (one's head)/to let droop/to hang down/to incline
队,名,squadron/team/group
顿,量,"classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
顿,动,to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)
顿,副,at once
翻译,动,to translate/to interpret
翻译,名,translator/interpreter/translation/interpretation
烦,形,superfluous and confusing/edgy
烦,动,to feel vexed/to bother/to trouble
费,名,fee/expenses
费,动,to cost/to spend
费,形,wasteful
负责,动,to be responsible for; to be in charge of; to bear responsibility for
负责,形,conscientious
感动,形,moving
感动,动,to move (sb)/to touch (sb emotionally)
感觉,名,feeling; impression; sensation
感觉,动,to feel; to perceive
感受,动,to sense/to feel (through the senses)/to experience
感受,名,perception/a feeling/an impression/an experience
各,代,each/every
各个,代,every/various
各个,副,"separately, one by one"
够,动,enough (sufficient)/enough (too much)/(coll.) to reach by stretching out
够,副,(coll.) (before adj.) really
关键,名,crucial point/crux/key
关键,形,crucial/pivotal
管,动,to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about
管,名,tube/pipe/woodwind/writing brush
管,量,classifier for tube-shaped objects
管,介,particle similar to 把[ba3] in 管...叫 constructions/(coll.) to/towards
光,名,light; ray
光,形,bright; shiny
光,动,used up; finished/to leave (a part of the body) uncovered
光,副,only; merely
广播,动,to broadcast/(formal) to propagate/to publicize
广播,名,broadcast/broadcasting
规定,动,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)
规定,名,regulations; rules; provisions; stipulations
环保,名,environmental protection/abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]
环保,形,environmentally friendly
回信,动,to reply/to write back
回信,名,letter written in reply
活,动,to live
活,形,alive/living
活,名,work/workmanship
活动,动,"to exercise; to move about; to work out/to use personal influence, connections, bribes etc"
活动,名,"(volcanic, seismic, economic etc) activity/(outdoor etc) activity; event; (political) campaign; (military) maneuver"
活动,形,shaky; unsteady; loose (tooth etc)/movable; flexible; liquid (capital etc)
火,名,fire/ammunition/internal heat (Chinese medicine)/Kangxi radical 86
火,形,urgent/fiery or flaming/hot (popular)
火,量,classifier for military units (old)
基本,形,basic/fundamental/main/elementary
激动,动,to move emotionally/to stir up (emotions)/to excite
及时,形,timely; at the right time
及时,副,promptly; without delay
既,副,already
既,连,since/both... (and...)
计划,名,plan/project/program
计划,动,to plan/to map out
建议,动,to propose; to suggest; to recommend
建议,名,proposal; suggestion; recommendation
将,介,"(introduces object of main verb, used in the same way as 把[ba3])"
将,副,will/shall/just a short while ago
将,动,to use/to take/to checkmate
奖,名,prize; award; bonus; reward
奖,动,(bound form) to encourage; to commend; to praise/to award; to give as a reward
交,动,to hand over; to deliver; to pay (money); to turn over/to make friends/(of lines) to intersect
交,名,variant of 跤[jiao1]
骄傲,形,conceited/proud of sth
骄傲,名,pride/arrogance
教育,名,education
教育,动,to educate/to teach
接着,动,to catch and hold on/to continue/to go on to do sth/to follow/to carry on/to proceed/to ensue
接着,副,then/after that/subsequently/in turn/in one's turn
尽管,副,"unhesitatingly/do not hesitate (to ask, complain etc)/(go ahead and do it) without hesitating"
尽管,连,despite/although/even though/in spite of
经济,名,economy
经济,形,economic
经历,动,to experience; to go through
经历,名,experience
究竟,副,after all/when all is said and done/(in an interrogative sentence) finally
究竟,名,outcome/result
究竟,动,to go to the bottom of a matter
就是,助,exactly; precisely
就是,副,only; simply; just
就是,连,(used correlatively with 也[ye3]) even; even if
聚会,动,to meet/to get together
聚会,名,party/gathering
距离,动,to be apart from
距离,名,distance
科学,名,science/scientific knowledge
科学,形,scientific/rational
客气,形,polite/courteous/formal/modest
肯定,动,to be certain; to be positive/to give recognition; to affirm
肯定,形,affirmative (answer)
肯定,副,assuredly; definitely
恐怕,动,fear/to dread
恐怕,副,I'm afraid that.../perhaps/maybe
困,形,hard-pressed/stranded/destitute
困,动,to trap/to surround
困难,形,difficult/challenging
困难,名,straitened circumstances/difficult situation
礼貌,名,courtesy; politeness; manners
礼貌,形,courteous; polite
理想,名,an ideal/a dream
理想,形,ideal/perfect
连,介,"including/(used with 也[ye3], 都[dou1] etc) even"
连,动,to link/to join/to connect
连,副,continuously/in succession
连,名,company (military)
亮,形,bright; light/loud and clear
亮,动,to shine; to flash/to show (one's passport etc); to make public (one's views etc)
列,动,to arrange/to line up
列,名,file/series/(in data tables) column/(Tw) row
另,代,other/another/separate
另,副,separately
另外,代,additional/separate/other
另外,副,in addition
另外,连,besides/moreover/furthermore
乱,形,in confusion or disorder/in a confused state of mind
乱,副,indiscriminate/random/arbitrary
乱,名,disorder/upheaval/riot/illicit sexual relations
乱,动,to throw into disorder/to mix up
麻烦,形,inconvenient; troublesome; annoying
麻烦,动,to bother sb; to put sb to trouble
麻烦,名,trouble; inconvenience
满,形,full/filled/packed/satisfied/contented
满,动,to fill/to reach the limit/to satisfy
满,副,fully/completely/quite
梦,名,dream
梦,动,(bound form) to dream
梦想,动,(fig.) to dream of
梦想,名,dream
耐心,形,to be patient
耐心,名,patience
暖和,形,warm/nice and warm
偶尔,副,occasionally/once in a while/sometimes
拍,动,to pat/to clap/to slap/to swat/to take (a photo)/to shoot (a film)
拍,名,racket (sports)/beat (music)
排,动,to set in order/to arrange/to line up/to eliminate/to drain/to push open
排,名,a row/a line/platoon/raft
排,量,"classifier for lines, rows etc"
篇,名,sheet/piece of writing/bound set of bamboo slips used for record keeping (old)
篇,量,"classifier for written items: chapter, article"
片,名,thin piece/flake/a slice/film/TV play/Kangxi radical 91
片,量,"classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc"
片,动,to slice/to carve thin
片,形,partial/incomplete/one-sided
平常,形,ordinary/common
平常,副,usually/ordinarily
破,动,"to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of"
破,形,broken/damaged/worn out/lousy/rotten
气,名,gas; air/smell/weather/vital energy; qi
气,动,to make angry; to annoy; to get angry
签证,动,to issue a visa
签证,名,visa
区别,动,to distinguish/to discriminate/to make a distinction
区别,名,difference
全,形,all/whole/entire/every/complete
热闹,形,bustling with noise and excitement/lively
身,名,body/life/oneself/one's morality and conduct/the main part of a structure or body/Kangxi radical 158
身,量,"classifier for sets of clothes: suit, twinset"
身,副,personally
身,形,pregnant
生2,形,raw/uncooked
失败,动,to be defeated/to lose/to fail (e.g. experiments)
失败,名,failure/defeat
失望,动,to lose hope/to despair
失望,形,disappointed
实际,名,reality/practice
实际,形,practical/realistic/real/actual
实在,形,true/real/honest/dependable
实在,副,really/actually/indeed
实在,名,(philosophy) reality
收入,动,to take in
收入,名,income/revenue
首先,副,first (of all)/in the first place
说明,动,to explain/to illustrate/to indicate/to show/to prove
说明,名,explanation/directions/caption
死,动,to die
死,形,impassable/uncrossable/inflexible/rigid
死,副,extremely/damned
算,动,to regard as/to figure/to calculate/to compute
随便,形,negligent/casual/wanton
随便,副,as one wishes/as one pleases/at random
所有,形,all
所有,动,to have; to possess; to own
台,量,classifier for vehicles or machines
台,名,platform/stage/terrace/stand/support/station/broadcasting station
讨厌,形,disagreeable/troublesome/annoying
讨厌,动,to dislike/to loathe
通,动,to go through/to know well/to connect/to communicate/to clear
通,形,open
通,量,"classifier for letters, telegrams, phone calls etc"
通,后缀,(suffix) expert
通过,动,to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)
通过,介,by means of; through; via
通知,动,to notify/to inform
通知,名,notice/notification
痛,形,ache/pain
痛,副,deeply/thoroughly
痛,名,sorrow
图,名,diagram/picture/drawing/chart/map
图,动,to plan/to scheme/to attempt/to pursue/to seek
土,名,earth/dust/clay/crude opium/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
土,形,local/indigenous/unsophisticated
完全,形,complete; whole
完全,副,totally; entirely
危险,形,dangerous
危险,名,danger
卫生,形,hygienic; sanitary
卫生,名,hygiene; sanitation
误会,动,to misunderstand/to mistake
误会,名,misunderstanding
现有,形,currently existing/currently available
相反,形,opposite/contrary
响,动,to make a sound/to sound/to ring
响,形,loud
响,名,echo/sound/noise
响,量,classifier for noises
笑话,名,joke; jest
笑话,动,to laugh at; to mock
笑话,形,ridiculous; absurd
辛苦,形,exhausting/hard/tough/arduous
辛苦,动,to work hard/to go to a lot of trouble
辛苦,名,hardship(s)
兴奋,形,excited
兴奋,名,excitement/(physiology) excitation
幸福,名,happiness
幸福,形,happy/blessed
永远,副,forever/eternal
由于,介,due to/as a result of/thanks to/owing to
由于,连,since/because
与,介,together with
与,连,and
与,动,to give
原来,形,original; former
原来,副,"originally; formerly; at first/so, actually, as it turns out"
约,动,to make an appointment/to invite/to economize/to restrict/to reduce (a fraction)
约,副,approximately
约,名,pact/treaty
约,形,concise
约会,动,to arrange to meet
约会,名,appointment/engagement/date
再说,动,to say again/to put off a discussion until later
再说,连,moreover/what's more/besides
真正,形,genuine; real; true
真正,副,really; indeed
正好,形,just right/just enough
正好,副,just (in time)/by chance/it just so happens that
正好,动,to happen to/to chance to
证明,动,to prove/to testify/to confirm the truth of
证明,名,proof/certificate/identification/testimonial
值,动,to happen to/to be on duty
值,形,(to be) worth
值,名,value
重点,名,important point; main point; focus
重点,副,to focus on; to put the emphasis on
重点,形,key (project etc)
专门,副,specially; specifically (for a particular purpose)
专门,形,"specialized; dedicated (to a particular field or purpose)/(of institutions, personnel etc) designated or assigned for a specific task; special"
专业,名,specialty/specialized field/main field of study (at university)/major
专业,形,professional
准,形,accurate
准,副,definitely/certainly
准,名,standard
准,前缀,"about to become (bride, son-in-law etc)/quasi-/para-"
自然,名,nature
自然,形,natural
自然,副,naturally
自信,动,to have confidence in oneself
自信,名,self-confidence
总结,动,to sum up/to conclude
总结,名,summary/résumé
组,名,group/team
组,动,to form/to organize
组,量,"classifier for sets, series, groups of people, batteries"
尊重,动,to esteem/to respect/to honor/to value
尊重,形,eminent/serious/proper
左右,名,left and right/nearby/attendant
左右,动,to control/to influence
左右,副,approximately
座,名,seat/base; stand/(bound form) constellation
座,量,"classifier for large immovable objects such as buildings, mountains, bridges etc"
座,后缀,(archaic) suffix used in a respectful form of address (e.g. 師座|师座[shi1 zuo4])
作为1,动,to act as/to view as/to look upon (sth as)/to take sth to be
作为1,介,as (in the capacity of)/qua
作文,动,to write an essay
作文,名,composition (student essay)
作用,名,action; function; activity/impact; result; effect/purpose; intent
作用,动,to act on; to affect
作用,后缀,"(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition"
安,形,(bound form) calm; peaceful/safe; secure; in good health/content; satisfied (as in 安於|安于[an1 yu2])
安,动,to calm; to set at ease/to place (sb) in a suitable position (job)/to install; to fix; to fit/to bring (a charge against sb)/to harbor (certain intentions)
安,量,ampere (abbr. for 安培[an1 pei2])
把握,动,to grasp (also fig.)/to seize/to hold
把握,名,assurance/certainty
把握,形,sure (of the outcome)
白,形,white/snowy/pure/bright/empty/blank/plain/clear/reactionary/anti-communist
白,副,in vain/gratuitous/free of charge
白,动,to make clear/to stare coldly/to write wrong character/to state/to explain
白,名,funeral/vernacular/spoken lines in opera
半夜,数量,in the middle of the night
半夜,名,midnight
包裹,动,to wrap up/to bind up
包裹,名,bundle/parcel/package
包装,动,to wrap; to package (goods etc)/(fig.) to present attractively; to craft an image; to package (sb or sth)
包装,名,packaging; packing materials
保,动,to defend; to protect; to keep/to guarantee; to ensure
保,名,(old) civil administration unit in the baojia 保甲[bao3 jia3] system
保安,动,to ensure public security/to ensure safety (for workers engaged in production)
保安,名,public security/security guard
保险,名,insurance
保险,形,safe/secure/be sure/be bound to
保险,动,to insure
报道,动,to report (news)
报道,名,report
报告,动,to inform/to report/to make known
报告,名,report/speech/talk/lecture
本2,副,originally; initially
本2,代,(bound form) one's own; this/(bound form) this; the current (year etc)
本2,形,(bound form) original/(bound form) inherent
本2,名,(bound form) root; stem/(bound form) origin; source/capital; principal
比喻,动,to compare/to liken to
比喻,名,metaphor/analogy/figure of speech
比喻,副,figuratively
必然,形,inevitable/certain
必然,名,necessity
便利,形,convenient/easy
便利,动,to facilitate
标志,名,sign; mark; symbol; logo
标志,动,to symbolize; to indicate; to mark
不幸,形,unfortunate/sad
不幸,名,misfortune/adversity
不幸,副,unfortunately
不然,连,or else/otherwise/if not/How about ...?
不然,形,not so/no
不足,名,deficiency
不足,形,insufficient/lacking/not enough/inadequate
不足,副,not worth/cannot/should not
裁判,动,(law) to judge; to adjudicate; verdict; judgement/(sports) to referee
裁判,名,(sports) umpire; referee; judge
长期,名,long term/long time
长期,形,long range (of a forecast)
朝,动,to make a pilgrimage to
朝,介,facing/towards
朝,名,imperial or royal court/government/dynasty/reign of a sovereign or emperor/court or assembly held by a sovereign or emperor
吵,形,noisy
吵,动,to quarrel/to make a noise/to disturb by making a noise
沉,动,to submerge/to immerse/to sink/to keep down/to lower/to drop
沉,形,deep/profound/heavy
成就,名,accomplishment/success/achievement
成就,动,to achieve (a result)/to create/to bring about
成人,动,to reach adulthood
成人,名,an adult
成熟,动,to mature; to ripen
成熟,形,mature; ripe
初,名,(at the) beginning
初,副,at first
初,前缀,first/junior/basic
传说,动,to repeat from mouth to mouth; they say that...
传说,名,legend; folk tale
传统,名,tradition/convention
传统,形,traditional/conventional
创新,动,to bring forth new ideas; to blaze new trails
创新,名,innovation
创作,动,to create; to produce; to write
创作,名,a creative work; a creation
